AngularVelocity,KE,PE,TE
-0.0345, 23.7705, 527.1238, 550.8943
-0.0676, 91.3109, 440.1000, 531.4110
-0.0980, 192.1380, 326.2919, 518.4299
-0.1245, 309.8108, 204.5023, 514.3130
-0.1455, 423.5316, 96.6559, 520.1875
-0.1599, 511.4612, 23.6310, 535.0922
-0.1667, 555.5394, 0.1234, 555.6629
-0.1653, 546.3744, 30.4524, 576.8268
-0.1559, 486.0734, 107.2888, 593.3622
-0.1392, 387.5737, 213.9581, 601.5318
-0.1164, 270.7970, 329.1476, 599.9446
-0.0887, 157.4812, 431.9079, 589.3891
-0.0578, 66.7253, 505.3125, 572.0378
-0.0248, 12.2972, 538.3283, 550.6255
0.0089, 1.5806, 526.3899, 527.9706
0.0421, 35.4350, 471.4181, 506.8531
0.0736, 108.3341, 381.6920, 490.0261
0.1021, 208.6444, 271.4259, 480.0703
0.1264, 319.4474, 159.4592, 478.9066
0.1450, 420.5722, 66.4570, 487.0292
0.1569, 492.1990, 10.6463, 502.8453
0.1612, 519.4893, 3.1709, 522.6603
0.1576, 496.6792, 44.9083, 541.5875
0.1464, 428.7945, 126.2653, 555.0598
0.1285, 330.1152, 230.0524, 560.1676
0.1049, 220.1383, 336.0492, 556.1875
0.0771, 118.8584, 425.3909, 544.2494
0.0464, 43.0147, 483.5647, 526.5794
0.0141, 3.9639, 501.8583, 505.8222
-0.0186, 6.8984, 477.7866, 484.6850
-0.0504, 50.7625, 415.0856, 465.8481
-0.0801, 128.4206, 323.4946, 451.9151
-0.1066, 227.1078, 218.0538, 445.1616
-0.1284, 329.6180, 117.3631, 446.9811
-0.1444, 416.7603, 40.4274, 457.1877
-0.1535, 471.1425, 2.4470, 473.5895
-0.1552, 481.4390, 10.8309, 492.2700
-0.1493, 445.5541, 63.1004, 508.6545
-0.1362, 371.2233, 147.6804, 518.9038
-0.1170, 273.7413, 247.1914, 520.9326
-0.0927, 171.8847, 342.7520, 514.6367
-0.0647, 83.7154, 417.7250, 501.4405
-0.0343, 23.5116, 460.0945, 483.6061
-0.0027, 0.1491, 463.5453, 463.6944
0.0288, 16.5538, 427.7532, 444.3071
0.0590, 69.6872, 358.3181, 428.0053
0.0868, 150.8048, 266.3793, 417.1841
0.1109, 246.1555, 167.5689, 413.7244
0.1301, 338.5757, 79.8372, 418.4129
0.1432, 410.3167, 20.0528, 430.3695
0.1495, 446.8474, 0.0390, 446.8864
0.1484, 440.5631, 23.4142, 463.9772
0.1402, 392.9145, 84.6039, 477.5184
0.1253, 313.9647, 170.4900, 484.4547
0.1048, 219.5675, 263.9241, 483.4916
0.0798, 127.4214, 347.6476, 475.0689
0.0517, 53.4554, 407.3901, 460.8454
0.0217, 9.4037, 433.6921, 443.0958
-0.0090, 1.6242, 422.6732, 424.2974
-0.0392, 30.7488, 376.1943, 406.9432
-0.0677, 91.7619, 301.6770, 393.4389
-0.0934, 174.4178, 211.4770, 385.8948
-0.1149, 264.2599, 121.4435, 385.7033
-0.1313, 344.6263, 48.3599, 392.9862
-0.1414, 399.7392, 6.4621, 406.2013
-0.1446, 418.3230, 3.9377, 422.2607
-0.1408, 396.5611, 40.7262, 437.2872
-0.1302, 339.1492, 108.5898, 447.7391
-0.1136, 257.9481, 193.4207, 451.3689
-0.0919, 168.8390, 278.7685, 447.6075
-0.0664, 88.0705, 349.2767, 437.3472
-0.0382, 29.2577, 393.1580, 422.4157
-0.0088, 1.5365, 403.5393, 405.0759
0.0209, 8.7451, 378.9721, 387.7171
0.0496, 49.2467, 323.4585, 372.7051
0.0762, 116.1393, 246.0960, 362.2352
0.0995, 197.9057, 160.1379, 358.0436
0.1183, 279.8003, 81.1484, 360.9487
0.1316, 346.2219, 24.1642, 370.3861
0.1385, 383.8998, 0.3406, 384.2403
0.1388, 385.0984, 14.1232, 399.2216
0.1322, 349.6739, 62.0744, 411.7482
0.1194, 285.0882, 133.8727, 418.9609
0.1011, 204.3650, 215.0389, 419.4039
0.0784, 122.8586, 290.2823, 413.1408
0.0525, 55.0232, 346.3938, 401.4170
0.0245, 12.0181, 374.1494, 386.1675
-0.0043, 0.3631, 369.2563, 369.6194
-0.0327, 21.4151, 332.6459, 354.0610
-0.0597, 71.3582, 270.3362, 341.6945
-0.0841, 141.5961, 192.8351, 334.4312
-0.1048, 219.7000, 113.8398, 333.5399
-0.1207, 291.1732, 48.0310, 339.2042
-0.1308, 342.0852, 8.1198, 350.2050
-0.1346, 362.1421, 1.8547, 363.9968
-0.1318, 347.2632, 30.0302, 377.2934
-0.1226, 300.6575, 86.3193, 386.9768
-0.1077, 231.9257, 159.0002, 390.9259
-0.0879, 154.5693, 233.8501, 388.4194
-0.0644, 82.8882, 297.1550, 380.0432
-0.0382, 29.2547, 338.0439, 367.2986
-0.0107, 2.2822, 349.8909, 352.1731
0.0172, 5.8981, 330.9360, 336.8341
0.0442, 39.0669, 284.3753, 323.4421
0.0693, 95.9627, 218.0176, 313.9803
0.0913, 166.6027, 143.3866, 309.9893
0.1091, 238.1355, 74.0525, 312.1880
0.1218, 296.9367, 23.1699, 320.1066
0.1287, 331.3399, 0.6224, 331.9622
0.1293, 334.3585, 10.6098, 344.9683
0.1236, 305.4663, 50.5832, 356.0495
0.1120, 250.7114, 111.9685, 362.6799
0.0952, 181.1075, 182.3729, 363.4804
0.0741, 109.9548, 248.4178, 358.3725
0.0500, 50.0392, 298.3089, 348.3480
0.0239, 11.4376, 323.6382, 335.0759
-0.0030, 0.1851, 320.3640, 320.5491
-0.0297, 17.6884, 289.1577, 306.8461
-0.0551, 60.6727, 235.2844, 295.9571
-0.0780, 121.5686, 168.0041, 289.5727
-0.0973, 189.4387, 99.3363, 288.7750
-0.1122, 251.6052, 42.0742, 293.6794
-0.1216, 295.9683, 7.2312, 303.1995
-0.1252, 313.6244, 1.5133, 315.1377
-0.1227, 301.0226, 25.6571, 326.6797
-0.1142, 260.8634, 74.2804, 335.1438
-0.1003, 201.3649, 137.3048, 338.6697
-0.0819, 134.1915, 202.3826, 336.5741
-0.0599, 71.8222, 257.4861, 329.3083
-0.0355, 25.1624, 292.9949, 318.1573
-0.0096, 1.8624, 303.0200, 304.8823
0.0164, 5.4057, 286.0331, 291.4388
0.0417, 34.8093, 244.9685, 279.7778
0.0651, 84.7922, 186.8663, 271.6585
0.0856, 146.4201, 121.9760, 268.3961
0.1021, 208.3491, 62.1921, 270.5412
0.1137, 258.7354, 18.8624, 277.5977
0.1199, 287.6110, 0.3511, 287.9621
0.1202, 289.1632, 10.0508, 299.2140
0.1147, 263.1664, 45.5557, 308.7221
0.1037, 215.0142, 99.3199, 314.3341
0.0878, 154.3311, 160.5376, 314.8687
0.0681, 92.6976, 217.5549, 310.2524
0.0454, 41.2496, 260.0964, 301.3460
0.0209, 8.7510, 280.8756, 289.6266
-0.0043, 0.3760, 276.5079, 276.8838
-0.0293, 17.1483, 247.8432, 264.9914
-0.0529, 55.8963, 199.8245, 255.7207
-0.0740, 109.6645, 140.8617, 250.5262
-0.0918, 168.6465, 81.6215, 250.2680
-0.1053, 221.7271, 33.1983, 254.9254
-0.1137, 258.5573, 4.8846, 263.4418
-0.1166, 271.7814, 2.0696, 273.8510
-0.1137, 258.7785, 24.9434, 283.7219
-0.1054, 222.2977, 68.4880, 290.7857
-0.0921, 169.7377, 123.7567, 293.4944
-0.0746, 111.3440, 179.9605, 291.3045
-0.0538, 57.9600, 226.6826, 284.6427
-0.0308, 18.9771, 255.6854, 274.6625
-0.0066, 0.8638, 262.0834, 262.9472
0.0178, 6.3486, 244.9092, 251.2578
0.0413, 34.1581, 207.1773, 241.3354
0.0629, 79.2207, 155.4855, 234.7063
0.0817, 133.3446, 99.0970, 232.4417
0.0966, 186.4434, 48.4447, 234.8881
0.1068, 228.3018, 13.1620, 241.4638
0.1119, 250.6469, 0.0157, 250.6626
0.1116, 249.0180, 11.3303, 260.3482
0.1058, 223.8343, 44.4460, 268.2804
0.0949, 180.2644, 92.4155, 272.6800
0.0797, 126.9426, 145.6723, 272.6149
0.0608, 73.9957, 194.1018, 268.0975
0.0394, 30.9963, 228.9402, 259.9365
0.0163, 5.3166, 244.1575, 249.4741
-0.0073, 1.0783, 237.2477, 238.3260
-0.0306, 18.6751, 209.4933, 228.1685
-0.0523, 54.7811, 165.7686, 220.5497
-0.0717, 102.8112, 113.8658, 216.6770
-0.0877, 153.8784, 63.2925, 217.1709
-0.0996, 198.2690, 23.5752, 221.8441
-0.1066, 227.3038, 2.3189, 229.6227
-0.1084, 235.2088, 3.5031, 238.7118
-0.1050, 220.4567, 26.5512, 247.0079
-0.0965, 186.1173, 66.5085, 252.6258
-0.0834, 139.0831, 115.2566, 254.3398
-0.0665, 88.4507, 163.3403, 251.7910
-0.0467, 43.5883, 201.8538, 245.4421
-0.0249, 12.4011, 223.9690, 236.3700
-0.0021, 0.0920, 225.9239, 226.0159
0.0206, 8.4799, 207.4818, 215.9616
0.0423, 35.8193, 171.9197, 207.7391
0.0621, 77.0687, 125.5657, 202.6344
0.0789, 124.6170, 76.8486, 201.4656
0.0921, 169.4988, 34.8635, 204.3623
0.1008, 203.0273, 7.6084, 210.6357
0.1045, 218.5803, 0.2636, 218.8439
0.1032, 213.0856, 14.0064, 227.0920
0.0969, 187.7350, 45.7585, 233.4935
0.0859, 147.6700, 88.9558, 236.6259
0.0710, 100.7526, 135.0661, 235.8186
0.0528, 55.8326, 175.3725, 231.2052
0.0324, 21.0129, 202.5725, 223.5855
0.0107, 2.2751, 211.9277, 214.2027
-0.0114, 2.6170, 201.9018, 204.5189
-0.0329, 21.6931, 174.3255, 196.0186
-0.0529, 55.9047, 134.1182, 190.0229
-0.0703, 98.9285, 88.5578, 187.4863
-0.0845, 142.6996, 46.0858, 188.7853
-0.0946, 178.8202, 14.7419, 193.5621
-0.1001, 200.2105, 0.5038, 200.7143
-0.1007, 202.6394, 5.9569, 208.5963
-0.0964, 185.6900, 29.7114, 215.4014
-0.0874, 152.8358, 66.7644, 219.6002
-0.0744, 110.5985, 109.6796, 220.2782
-0.0579, 67.0734, 150.1978, 217.2712
-0.0389, 30.2698, 180.8337, 211.1034
-0.0183, 6.6645, 196.1398, 202.8044
0.0031, 0.1917, 193.5025, 193.6942
0.0242, 11.7160, 173.4692, 185.1853
0.0441, 38.9593, 139.6396, 178.5990
0.0620, 76.8509, 98.1266, 174.9775
0.0769, 118.3080, 56.5769, 174.8849
0.0882, 155.4324, 22.8062, 178.2386
0.0951, 181.0017, 3.2468, 184.2485
0.0975, 189.9745, 1.5595, 191.5341
0.0950, 180.6124, 17.8134, 198.4257
0.0880, 154.8664, 48.4982, 203.3646
0.0768, 117.8956, 87.3655, 205.2610
0.0620, 76.8789, 126.8167, 203.6957
0.0444, 39.4930, 159.4364, 198.9294
0.0250, 12.4537, 179.3171, 191.7708
0.0045, 0.3971, 182.9843, 183.3815
-0.0161, 5.2074, 169.8729, 175.0803
-0.0359, 25.7897, 142.3720, 168.1616
-0.0540, 58.2603, 105.4563, 163.7166
-0.0695, 96.5476, 65.8993, 162.4469
-0.0817, 133.3937, 31.1000, 164.4937
-0.0899, 161.6783, 7.6651, 169.3434
-0.0938, 175.8514, 0.0275, 175.8789
